idMiscellaneous,subject,reading,createdat
652,getconfigrun,success,"2025-02-25 08:50:02"
652,speedreading,1740473400:W0:5001:54:200:0~1740473400:BV:816~,"2025-02-25 08:50:02"
50024,speedreading,"{"Datetime": [34, 51, "08", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "D", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "169", "F2": "0", "ACR": "d"}]}","2025-02-25 08:51:39"
860,speedreading,1740473722:BV:2576,"2025-02-25 08:55:26"
656,getconfigrun,success,"2025-02-25 09:21:10"
656,speedreading,1740475260:W1:11248:0~1740475260:BV:412~,"2025-02-25 09:21:10"
612,getconfigrun,success,"2025-02-25 09:34:11"
612,speedreading,1740476040:W1:8610:0~1740476040:BV:533~,"2025-02-25 09:34:11"
612,getconfigrun,success,"2025-02-25 09:40:10"
612,speedreading,1740476400:W0:7350:87:200:0~1740476400:BV:534~,"2025-02-25 09:40:10"
860,speedreading,1740477322:BV:2599,"2025-02-25 09:55:24"
609,getconfigrun,success,"2025-02-25 10:05:22"
609,speedreading,1740477900:W1:5690:0~1740477900:BV:530~,"2025-02-25 10:05:22"
609,getconfigrun,success,"2025-02-25 10:27:21"
609,speedreading,1740479220:W0:4913:4:201:0~1740479220:BV:530~,"2025-02-25 10:27:21"
878,speedreading,1740480023:BV:3300,"2025-02-25 10:40:24"
875,speedreading,1740480069:BV:3300,"2025-02-25 10:41:10"
860,speedreading,1740480923:BV:2626,"2025-02-25 10:55:25"
539,getconfigrun,success,"2025-02-25 11:00:14"
539,speedreading,1740481200:W1:5661:0~1740481200:BV:460~,"2025-02-25 11:00:14"
539,getconfigrun,success,"2025-02-25 11:25:13"
539,speedreading,1740482700:W0:4886:0:200:0~1740482700:BV:449~,"2025-02-25 11:25:13"
872,speedreading,1740483623:BV:2632,"2025-02-25 11:40:25"
878,speedreading,1740483622:BV:3300,"2025-02-25 11:40:25"
875,speedreading,1740483647:BV:3300,"2025-02-25 11:40:49"
860,speedreading,1740484523:BV:3300,"2025-02-25 11:55:25"
610,getconfigrun,success,"2025-02-25 12:03:19"
610,speedreading,1740484980:W1:5895:0~1740484980:BV:522~,"2025-02-25 12:03:19"
610,getconfigrun,success,"2025-02-25 12:07:18"
610,speedreading,1740485220:W0:5022:0:200:0~1740485220:BV:523~,"2025-02-25 12:07:18"
872,speedreading,1740487223:BV:2667,"2025-02-25 12:40:25"
875,speedreading,1740487246:BV:3300,"2025-02-25 12:40:49"
860,speedreading,1740488123:BV:3300,"2025-02-25 12:55:27"
872,speedreading,1740490822:BV:3229,"2025-02-25 13:40:24"
875,speedreading,1740490845:BV:3300,"2025-02-25 13:40:48"
860,speedreading,1740491722:BV:3300,"2025-02-25 13:55:24"
117,getconfigrun,success,"2025-02-25 14:36:43"
117,getconfigrun,success,"2025-02-25 14:39:42"
117,speedreading,1740494376:BV:602~,"2025-02-25 14:39:42"
878,speedreading,1740494422:BV:2639,"2025-02-25 14:40:24"
872,speedreading,1740494424:BV:32767,"2025-02-25 14:40:27"
875,speedreading,1740494448:BV:3300,"2025-02-25 14:40:52"
117,getconfigrun,success,"2025-02-25 14:43:06"
117,speedreading,1740494580:W1:5996:277~1740494580:BV:602~,"2025-02-25 14:43:07"
117,getconfigrun,success,"2025-02-25 14:47:05"
117,speedreading,1740494820:W0:5101:0:200:0~1740494820:BV:601~,"2025-02-25 14:47:06"
117,getconfigrun,success,"2025-02-25 14:53:13"
117,speedreading,1740495188:BV:602~,"2025-02-25 14:53:13"
860,speedreading,1740495323:BV:3300,"2025-02-25 14:55:27"
543,getconfigrun,success,"2025-02-25 15:00:10"
543,speedreading,1740495600:W1:5730:0~1740495600:BV:506~,"2025-02-25 15:00:11"
860,speedreading,1740498923:BV:3300,"2025-02-25 15:55:27"
613,getconfigrun,success,"2025-02-25 16:00:13"
613,speedreading,1740499200:W1:7644:0~1740499200:BV:826~,"2025-02-25 16:00:13"
528,getconfigrun,success,"2025-02-25 16:00:19"
528,speedreading,1740499200:W1:8295:0~1740499200:BV:428~,"2025-02-25 16:00:19"
528,getconfigrun,success,"2025-02-25 16:04:15"
528,speedreading,1740499440:W0:4840:26:200:0~1740499440:BV:428~,"2025-02-25 16:04:16"
655,getconfigrun,success,"2025-02-25 16:08:12"
655,speedreading,1740499680:W1:7697:4~1740499680:BV:428~,"2025-02-25 16:08:12"
625,getconfigrun,success,"2025-02-25 16:10:08"
625,speedreading,1740499800:W1:8239:0~1740499800:BV:408~,"2025-02-25 16:10:08"
625,getconfigrun,success,"2025-02-25 16:14:04"
625,speedreading,1740500040:W0:4894:33:200:0~1740500040:BV:408~,"2025-02-25 16:14:05"
543,getconfigrun,success,"2025-02-25 16:16:10"
543,speedreading,1740500160:W0:4903:1:200:0~1740500160:BV:510~,"2025-02-25 16:16:10"
613,getconfigrun,success,"2025-02-25 16:20:11"
613,speedreading,1740500400:W0:5716:241:200:0~1740500400:BV:805~,"2025-02-25 16:20:11"
878,speedreading,1740501623:BV:2658,"2025-02-25 16:40:25"
860,speedreading,1740502521:BV:3300,"2025-02-25 16:55:30"
109,getconfigrun,success,"2025-02-25 17:00:06"
109,speedreading,1740502800:W1:6118:0~1740502800:BV:854~,"2025-02-25 17:00:06"
655,getconfigrun,success,"2025-02-25 17:12:10"
655,speedreading,1740503520:W0:6104:145:200:0~1740503520:BV:428~,"2025-02-25 17:12:10"
53,getconfigrun,success,"2025-02-25 17:18:18"
53,speedreading,1740503880:W1:6606:0~1740503880:BV:453~,"2025-02-25 17:18:18"
860,speedreading,1740506122:BV:2602,"2025-02-25 17:55:24"
524,getconfigrun,success,"2025-02-25 18:00:14"
524,speedreading,1740506400:W1:6025:0~1740506400:BV:408~,"2025-02-25 18:00:14"
109,getconfigrun,success,"2025-02-25 18:01:05"
109,speedreading,1740506460:W0:4960:0:200:0~1740506460:BV:852~,"2025-02-25 18:01:05"
117,getconfigrun,success,"2025-02-25 18:01:06"
117,speedreading,1740506460:W1:5847:331~1740506460:BV:600~,"2025-02-25 18:01:06"
524,getconfigrun,success,"2025-02-25 18:04:16"
524,speedreading,1740506640:W0:7886:4:200:0~1740506640:BV:408~,"2025-02-25 18:04:16"
53,getconfigrun,success,"2025-02-25 18:21:20"
53,speedreading,1740507660:W0:8521:140:200:0~1740507660:BV:454~,"2025-02-25 18:21:20"
644,getconfigrun,success,"2025-02-25 18:30:17"
644,speedreading,1740508200:W1:13403:0~1740508200:BV:792~,"2025-02-25 18:30:18"
117,getconfigrun,success,"2025-02-25 18:32:07"
117,speedreading,1740508320:W0:6912:0:200:0~1740508320:BV:601~,"2025-02-25 18:32:08"
644,getconfigrun,success,"2025-02-25 18:36:16"
