idMiscellaneous,subject,reading,createdat
50019,speedreading,"{"Datetime": [40, 15, "09", "SAT", 1, 2, 2025], "Data": [{"BOFR": "0", "ACR": "OK", "VN": "A", "F2": 0, "F1": 0, "A1": "LO", "BV": 9.195, "NN": "A", "ar": "0", "AOFR": "0"}]}","2025-02-01 09:45:43"
50019,speedreading,"{"Datetime": [41, 45, "09", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "ACFR": "0", "F2": 0, "F1": 0, "BV": 9.105, "NN": "A", "A1": "LC", "ACR": "OK", "VN": "A"}]}","2025-02-01 09:45:48"
860,speedreading,1738403722:BV:2600,"2025-02-01 09:55:24"
542,getconfigrun,success,"2025-02-01 10:00:04"
542,speedreading,1738404000:W1:7351:0~1738404000:BV:744~,"2025-02-01 10:00:04"
609,getconfigrun,success,"2025-02-01 10:05:21"
609,speedreading,1738404300:W1:5637:0~1738404300:BV:525~,"2025-02-01 10:05:22"
542,getconfigrun,success,"2025-02-01 10:13:03"
542,speedreading,1738404780:W0:5802:1:201:0~1738404780:BV:742~,"2025-02-01 10:13:03"
110,getconfigrun,success,"2025-02-01 10:14:06"
110,speedreading,1738404840:W1:5942:0~1738404840:BV:451~,"2025-02-01 10:14:06"
110,getconfigrun,success,"2025-02-01 10:18:05"
110,speedreading,1738405080:W0:5061:0:200:0~1738405080:BV:451~,"2025-02-01 10:18:06"
609,getconfigrun,success,"2025-02-01 10:27:21"
609,speedreading,1738405620:W0:5073:9:200:0~1738405620:BV:528~,"2025-02-01 10:27:21"
860,speedreading,1738407322:BV:2625,"2025-02-01 10:55:26"
539,getconfigrun,success,"2025-02-01 11:00:13"
539,speedreading,1738407600:W1:5643:0~1738407600:BV:525~,"2025-02-01 11:00:13"
539,getconfigrun,success,"2025-02-01 11:25:12"
539,speedreading,1738409100:W0:4915:1:200:0~1738409100:BV:518~,"2025-02-01 11:25:12"
860,speedreading,1738410922:BV:3300,"2025-02-01 11:55:24"
610,getconfigrun,success,"2025-02-01 12:03:26"
610,speedreading,1738411380:W1:13191:0~1738411380:BV:523~,"2025-02-01 12:03:26"
610,getconfigrun,success,"2025-02-01 12:07:18"
610,speedreading,1738411620:W0:4978:0:200:0~1738411620:BV:525~,"2025-02-01 12:07:18"
848,speedreading,1738414223:BV:2650,"2025-02-01 12:50:26"
860,speedreading,1738414522:BV:3300,"2025-02-01 12:55:25"
848,speedreading,1738417822:BV:97,"2025-02-01 13:50:24"
860,speedreading,1738418123:BV:3300,"2025-02-01 13:55:25"
653,getconfigrun,success,"2025-02-01 14:53:37"
860,speedreading,1738421721:BV:3300,"2025-02-01 14:55:24"
543,getconfigrun,success,"2025-02-01 15:00:09"
543,speedreading,1738422000:W1:6038:0~1738422000:BV:510~,"2025-02-01 15:00:09"
848,speedreading,1738425022:BV:97,"2025-02-01 15:50:24"
860,speedreading,1738425322:BV:3300,"2025-02-01 15:55:24"
613,getconfigrun,success,"2025-02-01 16:00:11"
613,speedreading,1738425600:W1:7164:0~1738425600:BV:836~,"2025-02-01 16:00:12"
528,getconfigrun,success,"2025-02-01 16:00:19"
528,speedreading,1738425600:W1:8820:0~1738425600:BV:429~,"2025-02-01 16:00:19"
528,getconfigrun,success,"2025-02-01 16:04:15"
528,speedreading,1738425840:W0:4864:24:200:0~1738425840:BV:432~,"2025-02-01 16:04:15"
655,getconfigrun,success,"2025-02-01 16:08:09"
655,speedreading,1738426080:W1:6496:8~1738426080:BV:427~,"2025-02-01 16:08:09"
625,getconfigrun,success,"2025-02-01 16:10:08"
625,speedreading,1738426200:W1:8046:0~1738426200:BV:408~,"2025-02-01 16:10:08"
625,getconfigrun,success,"2025-02-01 16:14:04"
625,speedreading,1738426440:W0:4736:32:200:0~1738426440:BV:409~,"2025-02-01 16:14:05"
543,getconfigrun,success,"2025-02-01 16:16:11"
543,speedreading,1738426560:W0:8334:0:200:0~1738426560:BV:466~,"2025-02-01 16:16:12"
613,getconfigrun,success,"2025-02-01 16:20:11"
613,speedreading,1738426800:W0:7280:376:200:0~1738426800:BV:834~,"2025-02-01 16:20:12"
848,speedreading,1738428622:BV:32767,"2025-02-01 16:50:24"
860,speedreading,1738428922:BV:3300,"2025-02-01 16:55:25"
655,getconfigrun,success,"2025-02-01 17:12:08"
655,speedreading,1738429920:W0:5046:161:200:0~1738429920:BV:429~,"2025-02-01 17:12:08"
654,getconfigrun,success,"2025-02-01 17:16:06"
654,speedreading,1738430160:W1:5758:0~1738430160:BV:435~,"2025-02-01 17:16:06"
53,getconfigrun,success,"2025-02-01 17:18:10"
53,speedreading,1738430280:W1:5516:0~1738430280:BV:458~,"2025-02-01 17:18:10"
654,getconfigrun,success,"2025-02-01 17:20:05"
654,speedreading,1738430400:W0:4930:0:201:0~1738430400:BV:435~,"2025-02-01 17:20:05"
848,speedreading,1738432222:BV:2625,"2025-02-01 17:50:25"
860,speedreading,1738432522:BV:2615,"2025-02-01 17:55:25"
524,getconfigrun,success,"2025-02-01 18:00:14"
524,speedreading,1738432800:W1:6135:0~1738432800:BV:408~,"2025-02-01 18:00:14"
