idMiscellaneous,subject,reading,createdat
"531","speedreading","1735716960:W1:15544:0~1735716960:BV:401~","2025-01-01 20:05:51"
"64","getconfigrun","success","2025-01-01 20:10:20"
"64","speedreading","1735717200:W0:9582:0:200:0~1735717200:BV:341~","2025-01-01 20:10:20"
"651","getconfigrun","success","2025-01-01 20:15:12"
"651","speedreading","1735717500:W1:10505:0~1735717500:BV:840~","2025-01-01 20:15:13"
"860","speedreading","1609489483:BV:2574","2025-01-01 20:25:24"
"531","getconfigrun","success","2025-01-01 20:37:45"
"531","speedreading","1735718880:W0:9249:29:200:0~1735718880:BV:403~","2025-01-01 20:37:45"
"651","getconfigrun","success","2025-01-01 20:45:11"
"651","speedreading","1735719300:W0:8850:83:200:0~1735719300:BV:838~","2025-01-01 20:45:11"
"652","getconfigrun","success","2025-01-01 20:59:52"
"652","speedreading","1735720200:W1:9287:3~1735720200:BV:822~","2025-01-01 20:59:52"
"106","getconfigrun","success","2025-01-01 21:00:06"
"106","speedreading","1735720200:W1:6270:0~1735720200:BV:456~","2025-01-01 21:00:06"
"106","getconfigrun","success","2025-01-01 21:06:05"
"106","speedreading","1735720560:W0:5791:194:200:0~1735720560:BV:454~","2025-01-01 21:06:06"
"652","getconfigrun","success","2025-01-01 21:19:50"
"652","speedreading","1735721400:W0:7741:58:200:0~1735721400:BV:821~","2025-01-01 21:19:51"
"612","getconfigrun","success","2025-01-01 21:21:20"
"612","speedreading","1735721460:W1:6622:0~1735721460:BV:498~","2025-01-01 21:21:20"
"612","getconfigrun","success","2025-01-01 21:25:20"
"612","speedreading","1735721700:W0:6866:92:200:0~1735721700:BV:530~","2025-01-01 21:25:20"
"860","speedreading","1609493082:BV:2585","2025-01-01 21:25:23"
"860","speedreading","1609496683:BV:2611","2025-01-01 22:25:25"
"542","getconfigrun","success","2025-01-01 22:30:04"
"542","speedreading","1735725600:W1:5749:0~1735725600:BV:789~","2025-01-01 22:30:04"
"609","getconfigrun","success","2025-01-01 22:35:21"
"609","speedreading","1735725900:W1:5610:0~1735725900:BV:530~","2025-01-01 22:35:21"
"542","getconfigrun","success","2025-01-01 22:43:03"
"542","speedreading","1735726380:W0:4930:0:200:0~1735726380:BV:787~","2025-01-01 22:43:03"
"609","getconfigrun","success","2025-01-01 22:57:20"
"609","speedreading","1735727220:W0:4853:9:200:0~1735727220:BV:529~","2025-01-01 22:57:21"
"860","speedreading","1609500283:BV:2695","2025-01-01 23:25:24"
"539","getconfigrun","success","2025-01-01 23:30:13"
"539","speedreading","1735729200:W1:6720:0~1735729200:BV:533~","2025-01-01 23:30:13"
"539","getconfigrun","success","2025-01-01 23:55:11"
"539","speedreading","1735730700:W0:4997:1:200:0~1735730700:BV:534~","2025-01-01 23:55:11"
"860","speedreading","1609503883:BV:3300","2025-01-02 00:25:25"
"610","getconfigrun","success","2025-01-02 00:33:27"
"610","speedreading","1735732980:W1:13432:0~1735732980:BV:524~","2025-01-02 00:33:27"
"610","getconfigrun","success","2025-01-02 00:37:18"
"610","speedreading","1735733220:W0:4925:0:200:0~1735733220:BV:525~","2025-01-02 00:37:18"
"860","speedreading","1609507483:BV:3300","2025-01-02 01:25:25"
"860","speedreading","1609511081:BV:3300","2025-01-02 02:25:24"
"860","speedreading","1609514683:BV:3300","2025-01-02 03:25:25"
"543","getconfigrun","success","2025-01-02 03:30:06"
